Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Silica gel/gold nanoparticles/(NS)2 ligand nanoporous platform-modified ionic liquid carbon paste electrode for potentiometric ultratrace assessment of Ag(I)","International Journal of Environmental Science and Technology","","13","9","10.1007/s13762-016-1028-x","S. RamezaniM. H. MashhadizadehM. GhobadiS. Jalilian","2016","http://link.springer.com/article/10.1007/s13762-016-1028-x","Article"
"Magnetic polyresorcinol@CoFe2O4@MnS nanoparticles for adsorption of Pb(II), Ag(I), Cr(VI) and bacteria from water solution","Polymer Bulletin","","","","10.1007/s00289-019-02835-7","Reyhaneh KavehHassan AlijaniMostafa Hossein Beyki","2019","http://link.springer.com/article/10.1007/s00289-019-02835-7","Article"
"Literature in Vortex-Induced Oscillations","An Analytical Mechanics Framework for Flow-Oscillator Modeling of Vortex-Induced Bluff-Body Oscillations","","","","10.1007/978-3-030-26133-7_2","Sohrob MottaghiRene GabbaiHaym Benaroya","2020","http://link.springer.com/chapter/10.1007/978-3-030-26133-7_2","Chapter"
"Direct displacement-based design of special concentrically-braced frames in near-fault regions","Bulletin of Earthquake Engineering","","13","10","10.1007/s10518-015-9749-7","Mahmood YahyaiBahram Rezayibana","2015","http://link.springer.com/article/10.1007/s10518-015-9749-7","Article"
"An analysis of a discontinuous spectral element method for elastic wave propagation in a heterogeneous material","Computational Mechanics","","55","4","10.1007/s00466-015-1137-2","Jonghoon BinWilliam S. OatesM. Yousuff Hussaini","2015","http://link.springer.com/article/10.1007/s00466-015-1137-2","Article"
"Influences of Gravity Waves on Convectively Induced Turbulence (CIT): A Review","Pure and Applied Geophysics","","176","5","10.1007/s00024-018-1849-2","Robert D. SharmanS. B. Trier","2019","http://link.springer.com/article/10.1007/s00024-018-1849-2","Article"
"Solving the Rare Events Problem with the Fuzzy Sets Method","Aviation System Risks and Safety","","","","10.1007/978-981-13-8122-5_3","Kuklev E.A.Shapkin V.S.Filippov V.L.Shatrakov Y.G.","2019","http://link.springer.com/chapter/10.1007/978-981-13-8122-5_3","Chapter"
"Strong postzygotic isolation prevents introgression between two hybridizing Neotropical orchids, Epidendrum denticulatum and E. fulgens","Evolutionary Ecology","","29","2","10.1007/s10682-015-9753-z","Fábio PinheiroPoliana Cardoso-GustavsonRogério Mamoru SuzukiMonique Cristine R. AbrãoLeonardo R. S. GuimarãesDavid DraperAna Paula Moraes","2015","http://link.springer.com/article/10.1007/s10682-015-9753-z","Article"
"Piezoelectric active sensing system for crack detection in concrete structure","Journal of Civil Structural Health Monitoring","","6","1","10.1007/s13349-015-0143-6","Chen ZhangXun YuLee AlexanderYe ZhangRajesh RajamaniNavneet Garg","2016","http://link.springer.com/article/10.1007/s13349-015-0143-6","Article"
"Specification: The Biggest Bottleneck in Formal Methods and Autonomy","Verified Software. Theories, Tools, and Experiments","","","","10.1007/978-3-319-48869-1_2","Kristin Yvonne Rozier","2016","http://link.springer.com/chapter/10.1007/978-3-319-48869-1_2","Chapter"
"Recent Advances in Enzyme Engineering through Incorporation of Unnatural Amino Acids","Biotechnology and Bioprocess Engineering","","24","4","10.1007/s12257-019-0163-x","Yumi WonAmol D. PagarMahesh D. PatilPhilip E. DawsonHyungdon Yun","2019","http://link.springer.com/article/10.1007/s12257-019-0163-x","Article"
"Influence of Mg Doping on ZnO Nanoparticles for Enhanced Photocatalytic Evaluation and Antibacterial Analysis","Nanoscale Research Letters","","13","1","10.1186/s11671-018-2643-x","K. Pradeev rajK. SadaiyandiA. KennedySuresh SagadevanZaira Zaman ChowdhuryMohd. Rafie Bin JohanFauziah Abdul AzizRahman F. RafiqueR. Thamiz SelviR. Rathina bala","2018","http://link.springer.com/article/10.1186/s11671-018-2643-x","Article"
"Measurement of meson resonance production in 
                
                  
                
                $$\pi ^-+$$
                
                  
                    
                      
                        π
                        -
                      
                      +
                    
                  
                
               C interactions at SPS energies","The European Physical Journal C","","77","9","10.1140/epjc/s10052-017-5184-z","A. AduszkiewiczY. AliE. V. AndronovT. AntićićB. BaatarM. BaszczykS. BhosaleA. BlondelM. BogomilovA. BrandinA. BravarJ. BrzychczykS. A. BunyatovO. BusyginaH. CherifM. Ćirković","2017","http://link.springer.com/article/10.1140/epjc/s10052-017-5184-z","Article"
"Calcium Iron Layered Double Hydroxide/Poly(vinyl chloride) Nanocomposites: Synthesis, Characterization and Cd2+ Removal Behavior","Journal of Inorganic and Organometallic Polymers and Materials","","","","10.1007/s10904-019-01265-2","Mohammad DinariNegar Roghani","2019","http://link.springer.com/article/10.1007/s10904-019-01265-2","Article"
"Baiting and Male Annihilation Techniques for Fruit Fly Suppression in Africa","Fruit Fly Research and Development in Africa - Towards a Sustainable Management Strategy to Improve Horticulture","","","","10.1007/978-3-319-43226-7_13","Sunday Ekesi","2016","http://link.springer.com/chapter/10.1007/978-3-319-43226-7_13","Chapter"
"Modeling of Conjugate Heat Transfer in a Kerosene/Air Spray Flame used for Aeronautical Fire Resistance Tests","Flow, Turbulence and Combustion","","101","2","10.1007/s10494-018-9965-8","L. BouletP. BénardG. LartigueV. MoureauS. DidorallyN. ChauvetF. Duchaine","2018","http://link.springer.com/article/10.1007/s10494-018-9965-8","Article"
"Datenerhebung","Forschungsmethoden und Evaluation in den Sozial- und Humanwissenschaften","","","","10.1007/978-3-642-41089-5_10","Nicola DöringJürgen Bortz","2016","http://link.springer.com/chapter/10.1007/978-3-642-41089-5_10","Chapter"
"Fuzzy Logic-based Virtual Cell Design in Ultra-Dense Networks","EURASIP Journal on Wireless Communications and Networking","","2018","1","10.1186/s13638-018-1093-6","Qian LiuGang ChuaiWeidong GaoKaisa Zhang","2018","http://link.springer.com/article/10.1186/s13638-018-1093-6","Article"
"Chemical versus physical grafting of photoluminescent amino-functional carbon dots onto transparent nematic nanocellulose gels and aerogels","Cellulose","","26","13 - 14","10.1007/s10570-019-02619-2","Sakeena QuraishiSven F. PlappertThomas GrießerWolfgang Gindl-AltmutterFalk W. Liebner","2019","http://link.springer.com/article/10.1007/s10570-019-02619-2","Article"
"Airborne Remote Detection of Turbulence with Forward-Pointing LIDAR","Aviation Turbulence","","","","10.1007/978-3-319-23630-8_22","Patrick Sergej Vrancken","2016","http://link.springer.com/chapter/10.1007/978-3-319-23630-8_22","Chapter"
"Solid phase extraction of uranium on a new brush type graft copolymer and spectrophotometric determination of its in water samples","Journal of Radioanalytical and Nuclear Chemistry","","310","3","10.1007/s10967-016-4949-4","Mustafa TuzenEsra BagdaBaki Hazer","2016","http://link.springer.com/article/10.1007/s10967-016-4949-4","Article"
"P","Methoden-Lexikon für die Sozialwissenschaften","","","","10.1007/978-3-531-18889-8_16","Prof. Dr. Rainer Diaz-BoneProf. Dr. Christoph Weischer","2015","http://link.springer.com/chapter/10.1007/978-3-531-18889-8_16","Chapter"
